;1;1;;1;2;2;2;;;;;0;1;1;1;1;0
;1;2;;1;2;2;2;;;;;0;1;1;1;1;0
;1;50;;1;2;2;2;3;3;7;6;0;1;1;1;1;0
;1;51;;1;2;2;2;3;3;7;6;0;1;1;1;1;0
;2;1;;2;2;3;2;;;;;0;1;1;1;1;0
;2;2;;2;2;3;2;;;;;0;1;1;1;1;0
;2;50;;2;2;2;2;3;3;7;6;0;1;1;1;1;0
;2;51;;2;2;2;2;3;3;7;6;0;1;1;1;1;0
;3;1;;4;2;4;2;;;;;0;1;1;1;1;0
;3;2;;1;2;2;2;;;;;0;1;1;1;1;0
;3;50;;1;2;2;2;3;3;7;6;0;1;1;1;1;0
;3;51;;1;2;2;2;3;3;7;6;0;1;1;1;1;0
;4;1;;1;2;3;2;;;;;0;1;1;1;1;0
;4;2;;2;2;3;2;;;;;0;1;1;1;1;0
;4;50;;2;2;2;2;3;3;5;6;0;1;1;1;1;2
;4;51;;2;2;2;2;3;3;5;6;0;1;1;1;1;2
;5;1;;1;2;2;5;;;;;0;1;1;1;1;0
;5;2;;1;2;3;2;;;;;0;1;1;1;1;0
;5;50;;1;2;2;2;3;3;7;6;0;1;1;1;1;1
;5;51;;1;2;2;2;3;3;7;6;0;1;1;1;1;1
;6;1;;2;2;3;4;;;;;0;1;1;1;1;0
;6;2;;2;2;3;2;;;;;0;2;1;1;1;0
;6;50;;2;2;2;2;3;3;7;6;0;1;1;1;1;1
;6;51;;2;2;2;2;3;3;7;6;0;1;1;1;1;1
;7;1;;0;2;4;2;;;;;0;1;0;1;1;0
;7;2;;1;2;2;2;;;;;2;1;1;1;1;0
;7;50;;1;0;2;2;4;3;8;7;0;1;2;1;1;0
;7;51;;1;0;2;2;4;3;8;7;0;1;2;1;1;0
;8;1;;0;0;1;1;;;;;0;1;1;1;1;0
;8;2;;2;2;3;2;;;;;0;1;1;1;1;0
;8;50;;2;2;3;2;4;4;7;8;0;1;1;1;1;0
;8;51;;2;2;3;2;4;4;7;8;0;1;1;1;1;0
;9;1;;0;2;4;2;;;;;0;1;1;1;1;0
;9;2;;1;2;2;2;;;;;0;1;1;1;1;0
;9;50;;1;0;2;2;4;3;8;9;0;1;1;1;1;0
;9;51;;1;0;2;2;4;3;9;8;0;1;1;1;1;0
;10;1;;0;0;1;1;;;;;0;1;1;1;1;0
;10;2;;2;2;3;2;;;;;0;1;1;1;1;0
;10;50;;2;2;3;2;1;1;5;4;0;1;1;1;1;0
;10;51;;2;2;3;2;1;1;5;4;0;1;1;1;1;0
